"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2019","641.45","654.19","655.09","636.46","","-1.95%"
"10/11/2019","654.19","621.95","654.85","621.78","","5.18%"
"10/10/2019","621.95","609.36","623.91","609.31","","2.07%"
"10/09/2019","609.36","609.03","613.25","607.79","","0.05%"
"10/08/2019","609.03","614.24","617.79","608.42","","-0.85%"
"10/07/2019","614.24","614.35","616.83","608.67","","-0.02%"
"10/04/2019","614.35","608.54","614.69","603.63","","0.95%"
"10/03/2019","608.54","615.41","615.41","600.20","","-1.12%"
"10/02/2019","615.41","638.16","638.16","614.88","","-3.56%"
"10/01/2019","638.16","645.04","648.89","637.02","","-1.07%"
"09/30/2019","645.04","643.89","648.74","643.59","","0.18%"
"09/27/2019","643.89","633.82","646.07","633.82","","1.59%"
"09/26/2019","633.82","626.73","638.85","626.58","","1.13%"
"09/25/2019","626.73","629.36","629.36","616.35","","-0.42%"
"09/24/2019","629.36","635.52","638.48","628.21","","-0.97%"
"09/23/2019","635.52","642.12","642.75","627.40","","-1.03%"
"09/20/2019","642.12","640.94","645.37","640.30","","0.18%"
"09/19/2019","640.94","637.22","644.11","633.85","","0.58%"
"09/18/2019","637.22","638.64","640.44","633.52","","-0.22%"
"09/17/2019","638.64","645.53","645.60","633.01","","-1.07%"
"09/16/2019","645.53","659.61","659.61","644.30","","-2.13%"
"09/13/2019","659.61","644.06","660.06","643.94","","2.41%"
"09/12/2019","644.06","642.92","648.49","636.17","","0.18%"
"09/11/2019","642.92","635.51","648.82","635.51","","1.17%"
"09/10/2019","635.51","620.45","636.08","618.49","","2.43%"
"09/09/2019","620.45","609.80","620.45","609.80","","1.75%"
"09/06/2019","609.80","613.23","614.41","608.23","","-0.56%"
"09/05/2019","613.23","601.62","614.12","600.64","","1.93%"
"09/04/2019","601.62","591.40","611.66","591.40","","1.73%"
"09/03/2019","591.40","598.41","598.96","590.79","","-1.17%"
"09/02/2019","598.41","594.56","599.90","594.30","","0.65%"
"08/30/2019","594.56","590.50","597.94","590.39","","0.69%"
"08/29/2019","590.50","586.52","591.54","583.55","","0.68%"
"08/28/2019","586.52","595.27","595.27","579.88","","-1.47%"
"08/27/2019","595.27","599.16","599.41","592.44","","-0.65%"
"08/23/2019","599.16","602.93","609.07","599.16","","-0.63%"
"08/22/2019","602.93","609.05","609.66","600.09","","-1.00%"
"08/21/2019","609.05","608.21","616.20","607.61","","0.14%"
"08/20/2019","608.21","610.10","615.15","606.57","","-0.31%"
"08/19/2019","610.10","610.86","618.24","610.10","","-0.12%"
"08/16/2019","610.86","608.13","615.64","608.13","","0.45%"
"08/15/2019","608.13","615.87","616.34","603.70","","-1.26%"
"08/14/2019","615.87","630.85","638.55","611.83","","-2.37%"
"08/13/2019","630.85","627.25","633.85","617.57","","0.57%"
"08/12/2019","627.25","633.11","639.91","627.25","","-0.93%"
"08/09/2019","633.11","642.26","642.46","631.41","","-1.42%"
"08/08/2019","642.26","635.89","643.79","633.32","","1.00%"
"08/07/2019","635.89","638.66","644.92","631.60","","-0.43%"
"08/06/2019","638.66","638.09","647.75","635.41","","0.09%"
"08/05/2019","638.09","664.09","664.09","635.63","","-3.92%"
"08/02/2019","664.09","690.85","690.85","662.72","","-3.87%"
"08/01/2019","690.85","690.56","696.38","687.32","","0.04%"
"07/31/2019","690.56","696.54","696.95","687.15","","-0.86%"
"07/30/2019","696.54","704.09","706.46","696.31","","-1.07%"
"07/29/2019","704.09","700.31","705.78","696.71","","0.54%"
"07/26/2019","700.31","698.95","700.96","695.82","","0.19%"
"07/25/2019","698.95","705.95","710.38","695.24","","-0.99%"
"07/24/2019","705.95","710.01","713.27","703.35","","-0.57%"
"07/23/2019","710.01","704.22","714.24","704.22","","0.82%"
"07/22/2019","704.22","707.59","709.95","703.13","","-0.48%"
"07/19/2019","707.59","709.86","714.34","704.19","","-0.32%"
"07/18/2019","709.86","713.45","713.49","707.54","","-0.50%"
"07/17/2019","713.45","720.37","722.13","712.11","","-0.96%"
"07/16/2019","720.37","716.85","721.68","716.60","","0.49%"
"07/15/2019","716.85","713.41","719.30","710.59","","0.48%"
"07/12/2019","713.41","710.79","716.27","710.00","","0.37%"
"07/11/2019","710.79","713.59","716.39","708.35","","-0.39%"
"07/10/2019","713.59","720.59","722.19","713.59","","-0.97%"
"07/09/2019","720.59","725.82","726.11","718.10","","-0.72%"
"07/08/2019","725.82","725.99","728.78","720.32","","-0.02%"
"07/05/2019","725.99","732.78","734.66","725.00","","-0.93%"
"07/04/2019","732.78","727.29","734.14","727.29","","0.75%"
"07/03/2019","727.29","721.30","728.37","721.30","","0.83%"
"07/02/2019","721.30","712.54","723.80","712.54","","1.23%"
"07/01/2019","712.54","704.72","718.00","704.72","","1.11%"
"06/28/2019","704.72","697.75","704.72","696.17","","1.00%"
"06/27/2019","697.75","695.97","700.90","691.46","","0.26%"
"06/26/2019","695.97","695.53","701.83","693.08","","0.06%"
"06/25/2019","695.53","696.10","696.28","689.91","","-0.08%"
"06/24/2019","696.10","697.49","698.93","692.01","","-0.20%"
