"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2020","11,253.62","11,146.21","11,266.61","11,146.21","","0.96%"
"10/02/2020","11,146.21","11,042.69","11,146.21","10,935.06","","0.94%"
"10/01/2020","11,042.69","10,849.41","11,062.52","10,849.41","","1.78%"
"09/30/2020","10,849.41","10,816.88","10,909.87","10,749.69","","0.30%"
"09/29/2020","10,816.88","10,881.11","10,910.55","10,779.13","","-0.59%"
"09/28/2020","10,881.11","10,602.94","10,922.01","10,602.94","","2.62%"
"09/25/2020","10,602.94","10,540.10","10,607.38","10,436.02","","0.60%"
"09/24/2020","10,540.10","10,760.18","10,760.18","10,508.63","","-2.05%"
"09/23/2020","10,760.18","10,607.29","10,848.39","10,607.29","","1.44%"
"09/22/2020","10,607.29","10,677.06","10,730.19","10,607.29","","-0.65%"
"09/21/2020","10,677.06","11,120.97","11,120.97","10,652.09","","-3.99%"
"09/18/2020","11,120.97","10,975.39","11,142.95","10,962.57","","1.33%"
"09/17/2020","10,975.39","11,068.23","11,078.61","10,959.34","","-0.84%"
"09/16/2020","11,068.23","11,106.14","11,136.94","11,017.17","","-0.34%"
"09/15/2020","11,106.14","10,959.84","11,128.32","10,899.55","","1.33%"
"09/14/2020","10,959.84","11,011.79","11,070.71","10,932.94","","-0.47%"
"09/11/2020","11,011.79","10,957.96","11,083.85","10,937.42","","0.49%"
"09/10/2020","10,957.96","10,997.04","11,071.07","10,878.47","","-0.36%"
"09/09/2020","10,997.04","10,885.87","11,054.79","10,858.03","","1.02%"
"09/08/2020","10,885.87","10,861.78","10,944.84","10,720.40","","0.22%"
"09/07/2020","10,861.78","10,577.19","10,881.76","10,577.19","","2.69%"
"09/04/2020","10,577.19","10,717.87","10,796.82","10,534.18","","-1.31%"
"09/03/2020","10,717.87","11,000.62","11,093.73","10,717.87","","-2.57%"
"09/02/2020","11,000.62","10,921.19","11,080.86","10,883.73","","0.73%"
"09/01/2020","10,921.19","11,117.95","11,159.35","10,875.41","","-1.77%"
"08/28/2020","11,117.95","11,143.09","11,199.19","11,078.45","","-0.23%"
"08/27/2020","11,143.09","11,189.64","11,251.24","11,143.09","","-0.42%"
"08/26/2020","11,189.64","11,101.84","11,189.64","11,039.71","","0.79%"
"08/25/2020","11,101.84","11,147.33","11,211.19","11,084.90","","-0.41%"
"08/24/2020","11,147.33","11,063.74","11,223.33","11,061.59","","0.76%"
"08/21/2020","11,063.74","11,074.02","11,113.11","10,969.54","","-0.09%"
"08/20/2020","11,074.02","11,281.00","11,281.00","11,022.47","","-1.83%"
"08/19/2020","11,281.00","11,185.50","11,281.76","11,127.51","","0.85%"
"08/18/2020","11,185.50","11,268.63","11,345.70","11,137.78","","-0.74%"
"08/17/2020","11,268.63","11,219.37","11,298.90","11,149.17","","0.44%"
"08/14/2020","11,219.37","11,350.48","11,356.92","11,106.57","","-1.16%"
"08/13/2020","11,350.48","11,472.38","11,478.94","11,350.48","","-1.06%"
"08/12/2020","11,472.38","11,228.09","11,476.42","11,184.76","","2.18%"
"08/11/2020","11,228.09","11,050.05","11,288.62","11,050.05","","1.61%"
"08/10/2020","11,050.05","11,155.01","11,228.98","11,050.05","","-0.94%"
"08/07/2020","11,155.01","11,097.53","11,161.89","11,072.04","","0.52%"
"08/06/2020","11,097.53","11,180.77","11,181.96","11,003.93","","-0.74%"
"08/05/2020","11,180.77","10,977.93","11,180.77","10,977.36","","1.85%"
"08/04/2020","10,977.93","11,101.39","11,172.85","10,939.52","","-1.11%"
"08/03/2020","11,101.39","10,849.48","11,128.41","10,789.20","","2.32%"
"07/31/2020","10,849.48","10,764.45","11,003.42","10,764.45","","0.79%"
"07/30/2020","10,764.45","10,968.53","11,012.24","10,674.45","","-1.86%"
"07/29/2020","10,968.53","10,877.40","11,001.13","10,856.01","","0.84%"
"07/28/2020","10,877.40","10,911.53","11,026.67","10,836.48","","-0.31%"
"07/27/2020","10,911.53","10,914.94","10,970.92","10,870.34","","-0.03%"
"07/24/2020","10,914.94","11,010.33","11,010.33","10,817.41","","-0.87%"
"07/23/2020","11,010.33","11,135.54","11,170.21","11,005.88","","-1.12%"
"07/22/2020","11,135.54","11,097.95","11,196.75","11,062.39","","0.34%"
"07/21/2020","11,097.95","10,980.44","11,188.07","10,980.44","","1.07%"
"07/20/2020","10,980.44","10,922.81","10,998.24","10,819.53","","0.53%"
"07/17/2020","10,922.81","10,861.33","10,930.62","10,775.79","","0.57%"
"07/16/2020","10,861.33","10,887.23","10,890.36","10,764.27","","-0.24%"
"07/15/2020","10,887.23","10,762.63","10,987.11","10,761.57","","1.16%"
"07/14/2020","10,762.63","10,885.50","10,885.50","10,660.51","","-1.13%"
"07/13/2020","10,885.50","10,763.74","10,923.75","10,763.74","","1.13%"
"07/10/2020","10,763.74","10,721.20","10,844.02","10,649.53","","0.40%"
"07/09/2020","10,721.20","10,846.82","10,971.60","10,721.20","","-1.16%"
"07/08/2020","10,846.82","10,858.52","10,953.28","10,784.52","","-0.11%"
"07/07/2020","10,858.52","11,024.40","11,024.40","10,825.03","","-1.50%"
"07/06/2020","11,024.40","10,851.84","11,074.86","10,851.84","","1.59%"
"07/03/2020","10,851.84","10,868.38","10,980.65","10,807.52","","-0.15%"
"07/02/2020","10,868.38","10,706.25","10,892.96","10,706.25","","1.51%"
"07/01/2020","10,706.25","10,816.89","10,838.43","10,585.66","","-1.02%"
"06/30/2020","10,816.89","10,855.15","10,932.46","10,768.39","","-0.35%"
"06/29/2020","10,855.15","10,788.83","10,920.45","10,709.37","","0.61%"
"06/26/2020","10,788.83","10,741.37","10,949.57","10,741.37","","0.44%"
"06/25/2020","10,741.37","10,505.19","10,747.86","10,355.87","","2.25%"
"06/24/2020","10,505.19","10,918.66","10,918.66","10,505.19","","-3.79%"
"06/23/2020","10,918.66","10,672.56","10,918.66","10,672.56","","2.31%"
"06/22/2020","10,672.56","10,784.66","10,839.82","10,646.09","","-1.04%"
"06/19/2020","10,784.66","10,631.62","10,795.27","10,631.62","","1.44%"
"06/18/2020","10,631.62","10,679.38","10,708.17","10,544.29","","-0.45%"
"06/17/2020","10,679.38","10,677.00","10,794.07","10,650.70","","0.02%"
"06/16/2020","10,677.00","10,494.53","10,831.18","10,494.53","","1.74%"
"06/15/2020","10,494.53","10,448.32","10,516.05","10,237.25","","0.44%"
"06/12/2020","10,448.32","10,519.61","10,641.25","10,336.81","","-0.68%"
"06/11/2020","10,519.61","10,801.27","10,801.27","10,485.67","","-2.61%"
"06/10/2020","10,801.27","10,734.91","10,963.96","10,727.61","","0.62%"
"06/09/2020","10,734.91","11,004.23","11,006.97","10,714.13","","-2.45%"
"06/08/2020","11,004.23","11,122.36","11,123.60","10,941.80","","-1.06%"
"06/05/2020","11,122.36","10,922.55","11,130.24","10,922.55","","1.83%"
"06/04/2020","10,922.55","11,023.59","11,023.59","10,869.38","","-0.92%"
"06/03/2020","11,023.59","10,741.83","11,032.34","10,741.83","","2.62%"
"06/02/2020","10,741.83","10,715.60","10,818.59","10,691.64","","0.24%"
"06/01/2020","10,715.60","10,645.82","10,799.32","10,645.82","","0.66%"
"05/29/2020","10,645.82","10,860.61","10,864.06","10,602.85","","-1.98%"
"05/28/2020","10,860.61","10,729.13","10,947.52","10,729.13","","1.23%"
"05/27/2020","10,729.13","10,648.82","10,832.60","10,593.33","","0.75%"
"05/26/2020","10,648.82","10,458.72","10,705.19","10,458.72","","1.82%"
