"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2020","2,248.91","2,282.98","2,286.14","2,235.51","","-1.49%"
"06/30/2020","2,282.98","2,304.82","2,306.87","2,258.45","","-0.95%"
"06/29/2020","2,304.82","2,267.00","2,317.17","2,240.92","","1.67%"
"06/26/2020","2,267.00","2,295.77","2,326.88","2,267.00","","-1.25%"
"06/25/2020","2,295.77","2,278.66","2,311.64","2,223.00","","0.75%"
"06/24/2020","2,278.66","2,338.50","2,338.76","2,272.27","","-2.56%"
"06/23/2020","2,338.50","2,296.53","2,356.33","2,293.11","","1.83%"
"06/22/2020","2,296.53","2,340.78","2,340.78","2,283.58","","-1.89%"
"06/19/2020","2,340.78","2,315.00","2,364.21","2,315.00","","1.11%"
"06/18/2020","2,315.00","2,321.96","2,351.09","2,286.80","","-0.30%"
"06/17/2020","2,321.96","2,347.59","2,376.60","2,310.06","","-1.09%"
"06/16/2020","2,347.59","2,273.20","2,397.20","2,273.20","","3.27%"
"06/15/2020","2,273.20","2,298.65","2,298.65","2,237.25","","-1.11%"
"06/12/2020","2,298.65","2,273.39","2,339.03","2,245.85","","1.11%"
"06/11/2020","2,273.39","2,441.77","2,441.77","2,273.39","","-6.90%"
"06/10/2020","2,441.77","2,464.94","2,503.27","2,420.92","","-0.94%"
"06/09/2020","2,464.94","2,570.34","2,570.88","2,451.93","","-4.10%"
"06/08/2020","2,570.34","2,559.62","2,598.32","2,517.66","","0.42%"
"06/05/2020","2,559.62","2,413.06","2,580.08","2,413.06","","6.07%"
"06/04/2020","2,413.06","2,422.68","2,430.30","2,377.46","","-0.40%"
"06/03/2020","2,422.68","2,309.15","2,425.68","2,309.15","","4.92%"
"06/02/2020","2,309.15","2,280.84","2,338.58","2,267.74","","1.24%"
"06/01/2020","2,280.84","2,200.71","2,280.84","2,200.71","","3.64%"
"05/29/2020","2,200.71","2,305.91","2,305.91","2,200.71","","-4.56%"
"05/28/2020","2,305.91","2,352.88","2,368.94","2,278.48","","-2.00%"
"05/27/2020","2,352.88","2,263.77","2,372.42","2,258.44","","3.94%"
"05/26/2020","2,263.77","2,173.36","2,265.66","2,173.36","","4.16%"
"05/22/2020","2,173.36","2,249.50","2,249.50","2,139.74","","-3.38%"
"05/21/2020","2,249.50","2,332.88","2,332.88","2,244.25","","-3.57%"
"05/20/2020","2,332.88","2,317.70","2,333.80","2,262.94","","0.65%"
"05/19/2020","2,317.70","2,327.30","2,359.23","2,287.25","","-0.41%"
"05/18/2020","2,327.30","2,230.92","2,330.05","2,230.89","","4.32%"
"05/15/2020","2,230.92","2,226.93","2,263.44","2,204.18","","0.18%"
"05/14/2020","2,226.93","2,257.79","2,257.79","2,162.98","","-1.37%"
"05/13/2020","2,257.79","2,307.78","2,307.78","2,257.28","","-2.17%"
"05/12/2020","2,307.78","2,319.39","2,343.50","2,297.66","","-0.50%"
"05/11/2020","2,319.39","2,350.62","2,383.06","2,307.56","","-1.33%"
"05/07/2020","2,350.62","2,274.20","2,352.81","2,274.20","","3.36%"
"05/06/2020","2,274.20","2,290.53","2,313.47","2,269.53","","-0.71%"
"05/05/2020","2,290.53","2,254.96","2,321.99","2,254.96","","1.58%"
"05/04/2020","2,254.96","2,311.00","2,311.00","2,254.96","","-2.42%"
"05/01/2020","2,311.00","2,349.69","2,349.69","2,283.71","","-1.65%"
"04/30/2020","2,349.69","2,476.52","2,505.14","2,349.69","","-5.12%"
"04/29/2020","2,476.52","2,369.35","2,479.48","2,358.80","","4.52%"
"04/28/2020","2,369.35","2,293.34","2,370.46","2,265.95","","3.31%"
"04/27/2020","2,293.34","2,224.14","2,293.34","2,224.14","","3.11%"
"04/24/2020","2,224.14","2,273.93","2,273.93","2,224.14","","-2.19%"
"04/23/2020","2,273.93","2,237.72","2,276.30","2,220.55","","1.62%"
"04/22/2020","2,237.72","2,202.77","2,253.44","2,202.77","","1.59%"
"04/21/2020","2,202.77","2,301.13","2,301.13","2,202.77","","-4.27%"
"04/20/2020","2,301.13","2,295.45","2,313.19","2,258.42","","0.25%"
"04/17/2020","2,295.45","2,235.19","2,315.49","2,235.19","","2.70%"
"04/16/2020","2,235.19","2,247.80","2,291.09","2,211.90","","-0.56%"
"04/15/2020","2,247.80","2,378.05","2,378.05","2,244.91","","-5.48%"
"04/14/2020","2,378.05","2,431.21","2,435.40","2,370.94","","-2.19%"
"04/09/2020","2,431.21","2,356.47","2,431.21","2,353.51","","3.17%"
"04/08/2020","2,356.47","2,351.51","2,356.47","2,294.71","","0.21%"
"04/07/2020","2,351.51","2,280.47","2,395.27","2,280.47","","3.12%"
"04/06/2020","2,280.47","2,165.80","2,289.26","2,165.80","","5.29%"
"04/03/2020","2,165.80","2,185.13","2,188.69","2,149.01","","-0.88%"
"04/02/2020","2,185.13","2,238.65","2,250.57","2,139.11","","-2.39%"
"04/01/2020","2,238.65","2,480.67","2,480.67","2,233.12","","-9.76%"
"03/31/2020","2,480.67","2,532.29","2,551.73","2,461.22","","-2.04%"
"03/30/2020","2,532.29","2,572.38","2,572.96","2,493.93","","-1.56%"
"03/27/2020","2,572.38","2,762.62","2,762.62","2,550.83","","-6.89%"
"03/26/2020","2,762.62","2,782.22","2,782.22","2,654.28","","-0.70%"
"03/25/2020","2,782.22","2,708.91","2,840.01","2,671.51","","2.71%"
"03/24/2020","2,708.91","2,535.13","2,708.91","2,534.70","","6.85%"
"03/23/2020","2,535.13","2,614.67","2,671.55","2,487.03","","-3.04%"
"03/20/2020","2,614.67","2,607.96","2,705.48","2,568.65","","0.26%"
"03/19/2020","2,607.96","2,599.80","2,692.61","2,544.04","","0.31%"
"03/18/2020","2,599.80","2,656.50","2,656.50","2,529.98","","-2.13%"
